,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_logreg__C,param_logreg__solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
17,109.841999928,2.82533335686,0.759969678754,0.980911851314,0.40000000000000002,newton-cg,"{'logreg__C': 0.40000000000000002, 'logreg__solver': 'newton-cg'}",7,0.760232886401,0.980656041803,0.760983861922,0.980999945517,0.758692254151,0.981079566623,6.90653841113,0.300644106976,0.000953876351909,0.00018378204449
18,63.9006667137,2.89633329709,0.759725116197,0.980003454666,0.40000000000000002,lbfgs,"{'logreg__C': 0.40000000000000002, 'logreg__solver': 'lbfgs'}",14,0.759575700158,0.979624218651,0.761075064992,0.980801203167,0.758524551686,0.979584942181,8.090673011,0.19997728927,0.00104658697597,0.000564321222123
19,52.3613332907,2.84366663297,0.759106189018,0.96512500807,0.40000000000000002,sag,"{'logreg__C': 0.40000000000000002, 'logreg__solver': 'sag'}",31,0.758527159342,0.959736575844,0.760379280989,0.960729439284,0.758412108365,0.974909009082,1.76324435892,0.27369857066,0.000901442406212,0.00693019727009
20,48.6253334681,2.79733331998,0.760194198696,0.985591957872,0.5,liblinear,"{'logreg__C': 0.5, 'logreg__solver': 'liblinear'}",2,0.760093378183,0.985232573556,0.761405078425,0.985788104115,0.759084110118,0.985755195944,1.39170164703,0.239059710341,0.000950207421601,0.000254477964475
21,50.6536666552,2.85000006358,0.757580881358,0.939500368881,0.5,saga,"{'logreg__C': 0.5, 'logreg__solver': 'saga'}",41,0.756288163706,0.92848817714,0.758744465049,0.929415884299,0.757710018734,0.960597045203,0.128312907543,0.0956974090754,0.00100693408798,0.0149224098595
22,110.114666621,2.947666804,0.760203119757,0.985594162943,0.5,newton-cg,"{'logreg__C': 0.5, 'logreg__solver': 'newton-cg'}",1,0.760106764292,0.985232573556,0.761405078425,0.985788104115,0.75909748731,0.985761811158,7.05921040626,0.232895311183,0.000944528698374,0.000255907526782
23,65.0983332793,2.75899998347,0.760174321481,0.984183145132,0.5,lbfgs,"{'logreg__C': 0.5, 'logreg__solver': 'lbfgs'}",5,0.759841014018,0.983810491659,0.76167866926,0.984643714709,0.759003250188,0.984095229027,6.35299935107,0.133499084108,0.00111737203988,0.000345795791431
24,51.3516666889,2.79533330599,0.759289835108,0.968279822549,0.5,sag,"{'logreg__C': 0.5, 'logreg__solver': 'sag'}",29,0.758614331964,0.962699849869,0.760465079417,0.963685683189,0.758790080725,0.978453934589,0.469483633023,0.121754743464,0.000834120279605,0.0072054323804
25,55.4613332748,2.9913333257,0.760179909113,0.988118586318,0.59999999999999998,liblinear,"{'logreg__C': 0.59999999999999998, 'logreg__solver': 'liblinear'}",4,0.760071785075,0.988221813571,0.761204220151,0.987918650725,0.759263697878,0.988215294658,5.15372093603,0.240634439139,0.000795893939565,0.000141400860489
26,54.8386666775,2.91200002035,0.757839762267,0.941096884399,0.59999999999999998,saga,"{'logreg__C': 0.59999999999999998, 'logreg__solver': 'saga'}",39,0.756674413257,0.929983540369,0.758933489001,0.930838220796,0.757911386439,0.962468892032,1.70359642229,0.189799842752,0.000923657392703,0.0151163190484
27,117.994666735,2.86166659991,0.760184269608,0.988118586318,0.59999999999999998,newton-cg,"{'logreg__C': 0.59999999999999998, 'logreg__solver': 'newton-cg'}",3,0.760084866446,0.988221813571,0.761204220151,0.987918650725,0.759263697878,0.988215294658,3.51584038597,0.336927543616,0.000795325242661,0.000141400860489
28,64.9226666292,2.89266665777,0.759808685578,0.986540646732,0.59999999999999998,lbfgs,"{'logreg__C': 0.59999999999999998, 'logreg__solver': 'lbfgs'}",11,0.759192554403,0.986503573724,0.761050871672,0.986470473182,0.759182614099,0.986647893289,9.23977903108,0.184434891768,0.000878373393054,7.70293432015e-05
29,54.245999972,2.98200003306,0.759446148841,0.970222027959,0.59999999999999998,sag,"{'logreg__C': 0.59999999999999998, 'logreg__solver': 'sag'}",21,0.758845746011,0.964558352547,0.760419068998,0.965510966975,0.75907362166,0.980596764353,2.20906273797,0.410838962508,0.000694224451794,0.00734634761864
30,58.4040000439,3.01399993896,0.759840584765,0.989624463581,0.70000000000000007,liblinear,"{'logreg__C': 0.70000000000000007, 'logreg__solver': 'liblinear'}",10,0.759269390829,0.989538769263,0.761327925033,0.989618107763,0.7589244142,0.989716513715,3.16542394307,0.130815350998,0.00106110314739,7.27029109116e-05
31,52.1519999504,2.93600002925,0.757916630035,0.942256643366,0.70000000000000007,saga,"{'logreg__C': 0.70000000000000007, 'logreg__solver': 'saga'}",37,0.756751232804,0.931233917302,0.759072087376,0.931817239075,0.757926570188,0.96371877372,0.629740203074,0.0604207898578,0.000947515157853,0.0151778862294
32,117.11499993,3.17966659864,0.75984940616,0.989624463581,0.70000000000000007,newton-cg,"{'logreg__C': 0.70000000000000007, 'logreg__solver': 'newton-cg'}",9,0.759282723849,0.989538769263,0.761341055966,0.989618107763,0.7589244142,0.989716513715,7.98505718613,0.145579987077,0.00106485765433,7.27029109116e-05
33,69.169333299,2.84066661199,0.759882774349,0.988480403671,0.70000000000000007,lbfgs,"{'logreg__C': 0.70000000000000007, 'logreg__solver': 'lbfgs'}",8,0.759098982982,0.988527016425,0.761331351947,0.988275708162,0.759217970533,0.988638486427,4.55036118759,0.125709522222,0.00102545700397,0.00015172690139
34,53.3859999975,3.51366670926,0.759539280073,0.97161746782,0.70000000000000007,sag,"{'logreg__C': 0.70000000000000007, 'logreg__solver': 'sag'}",19,0.758781696525,0.965933890856,0.760511541032,0.966886673309,0.759324596982,0.982031839295,1.56364596852,0.561172819678,0.000722340089478,0.00737433832141
35,63.8826665084,2.97666676839,0.759697604855,0.990828006968,0.80000000000000004,liblinear,"{'logreg__C': 0.80000000000000004, 'logreg__solver': 'liblinear'}",16,0.759363756007,0.990676158811,0.760947285474,0.99092081264,0.758781748857,0.990887049454,1.59145303954,0.128429800806,0.000915049884444,0.000108253977078
36,53.9796667099,2.83733328183,0.757866075775,0.943182937166,0.80000000000000004,saga,"{'logreg__C': 0.80000000000000004, 'logreg__solver': 'saga'}",38,0.756942802759,0.93219334424,0.758965838014,0.932585017274,0.757689581885,0.964770449984,2.67909653692,0.156812625114,0.000835279946683,0.0152655141675
37,127.445333322,2.98433327675,0.759702072381,0.990828006968,0.80000000000000004,newton-cg,"{'logreg__C': 0.80000000000000004, 'logreg__solver': 'newton-cg'}",15,0.759350424463,0.990676158811,0.760947285474,0.99092081264,0.758808483568,0.990887049454,8.84013716684,0.296821350091,0.000907875460135,0.000108253977078
38,65.9450000127,2.92833328247,0.759796123702,0.989346315098,0.80000000000000004,lbfgs,"{'logreg__C': 0.80000000000000004, 'logreg__solver': 'lbfgs'}",12,0.759247053262,0.98974375185,0.7616659077,0.989537662502,0.75847537521,0.988757530943,9.39039447159,0.151978747937,0.00135916026121,0.000424749566437
39,52.9906667074,2.91100001335,0.75965529796,0.972616171318,0.80000000000000004,sag,"{'logreg__C': 0.80000000000000004, 'logreg__solver': 'sag'}",18,0.759060083986,0.967012033309,0.76050009704,0.96779280389,0.75940570625,0.983043676754,2.02759210347,0.425831755986,0.000613804936366,0.00738024628707
40,62.3526666959,2.90333334605,0.759381954134,0.991659027045,0.90000000000000002,liblinear,"{'logreg__C': 0.90000000000000002, 'logreg__solver': 'liblinear'}",24,0.759154759592,0.991522581582,0.760538072825,0.99180030578,0.758453005413,0.991654193772,2.46784652015,0.293007734524,0.000866250644179,0.000113431926363
41,52.887999932,2.88566668828,0.757805237092,0.94371417857,0.90000000000000002,saga,"{'logreg__C': 0.90000000000000002, 'logreg__solver': 'saga'}",40,0.756929750095,0.932695873954,0.758833846293,0.93310079654,0.757652110839,0.965345865215,1.22000652353,0.103551329166,0.000784851938038,0.0152968055687
42,127.255333344,3.0206665198,0.759390770448,0.991659027045,0.90000000000000002,newton-cg,"{'logreg__C': 0.90000000000000002, 'logreg__solver': 'newton-cg'}",23,0.759167886643,0.991522581582,0.760551394482,0.99180030578,0.758453005413,0.991654193772,4.40139258779,0.25017904064,0.000871038729724,0.000113431926363
43,66.8979999224,3.17033338547,0.75943107308,0.98990251863,0.90000000000000002,lbfgs,"{'logreg__C': 0.90000000000000002, 'logreg__solver': 'lbfgs'}",22,0.758832117289,0.990206649962,0.760606058716,0.98980989805,0.758855027997,0.989691007878,9.72793295139,0.256364645197,0.000830898450813,0.000220462572296
44,55.0026667118,2.84366663297,0.759656219606,0.973284101241,0.90000000000000002,sag,"{'logreg__C': 0.90000000000000002, 'logreg__solver': 'sag'}",17,0.759021515551,0.967660070186,0.760593217668,0.968388037638,0.759353917603,0.9838041959,1.60893351393,0.452960878872,0.000676316195304,0.0074447645081
45,59.5613332589,2.85066668193,0.759338728527,0.992192474312,1.0,liblinear,"{'logreg__C': 1.0, 'logreg__solver': 'liblinear'}",27,0.759235134836,0.992044984413,0.760446693392,0.99230288373,0.758334330786,0.992229554794,3.97678182088,0.205313333404,0.000865472076394,0.000108502645091
46,51.3153332869,2.85433340073,0.757947499222,0.944285314522,1.0,saga,"{'logreg__C': 1.0, 'logreg__solver': 'saga'}",36,0.757116141857,0.933159224831,0.75898324397,0.933649834762,0.757743106432,0.966046883972,0.116934048152,0.154588416487,0.000775825040239,0.0153890567878
47,128.345666726,2.94366661708,0.759334285991,0.992192474312,1.0,newton-cg,"{'logreg__C': 1.0, 'logreg__solver': 'newton-cg'}",28,0.759248262709,0.992044984413,0.76042023803,0.99230288373,0.758334330786,0.992229554794,2.44280501864,0.063088995716,0.00085373592268,0.000108502645091
48,68.4483334223,2.82099994024,0.759456314261,0.990618567447,1.0,lbfgs,"{'logreg__C': 1.0, 'logreg__solver': 'lbfgs'}",20,0.75912850527,0.990391798301,0.76056346465,0.99096709011,0.758676952249,0.990496813928,8.49438471102,0.114344498889,0.000804289936957,0.000250144099619
49,47.6596666177,2.35400001208,0.759734744428,0.973802166662,1.0,sag,"{'logreg__C': 1.0, 'logreg__solver': 'sag'}",13,0.759184797439,0.968195828456,0.760624822227,0.968963359222,0.759394604619,0.984247312307,5.62490990588,0.117382599183,0.000635185768118,0.00739247710123
